Mark,Athlete,Nation,Venue,Date,Sex,Event
03:27.6,Silas Kiplagat,KEN,Monaco (Stade Louis II),18-Jul-2014,male,1500m
03:27.6,Hicham El Guerrouj,MAR,Zürich,6-Aug-2004,male,1500m
03:27.6,Hicham El Guerrouj,MAR,Sevilla (La Cartuja),24-Aug-1999,male,1500m
03:27.7,Asbel Kiprop,KEN,Monaco (Stade Louis II),19-Jul-2013,male,1500m
03:27.9,Bernard Lagat,KEN,Monaco (Stade Louis II),19-Jul-2002,male,1500m
03:28.1,Noah Ngeny,KEN,Zürich,11-Aug-2000,male,1500m
03:28.4,Hicham El Guerrouj,MAR,Monaco (Stade Louis II),8-Aug-1998,male,1500m
03:28.4,Noureddine Morceli,ALG,Monaco (Stade Louis II),9-Sep-1995,male,1500m
03:28.4,Hicham El Guerrouj,MAR,Saint-Denis,6-Jul-2001,male,1500m
03:28.4,Hicham El Guerrouj,MAR,Bruxelles (Boudewijnstadion),5-Sep-2003,male,1500m
03:28.5,Asbel Kiprop,KEN,Monaco (Stade Louis II),18-Jul-2014,male,1500m
03:28.5,Bernard Lagat,KEN,Zürich,11-Aug-2000,male,1500m
03:28.6,Hicham El Guerrouj,MAR,Zürich,11-Aug-1999,male,1500m
03:28.7,Noah Ngeny,KEN,Sevilla (La Cartuja),24-Aug-1999,male,1500m
03:28.7,Taoufik Makhloufi,ALG,Monaco (Stade Louis II),17-Jul-2015,male,1500m
03:28.8,Abdalaati Iguider,MAR,Monaco (Stade Louis II),17-Jul-2015,male,1500m
03:28.8,Ronald Kwemoi,KEN,Monaco (Stade Louis II),18-Jul-2014,male,1500m
03:28.8,Mohamed Farah,GBR,Monaco (Stade Louis II),19-Jul-2013,male,1500m
03:28.8,Noah Ngeny,KEN,Paris (Charléty),21-Jul-1999,male,1500m
03:28.9,Noureddine Morceli,ALG,Rieti,6-Sep-1992,male,1500m
03:28.9,Asbel Kiprop,KEN,Monaco (Stade Louis II),20-Jul-2012,male,1500m
03:28.9,Hicham El Guerrouj,MAR,Zürich,13-Aug-1997,male,1500m
03:28.9,Hicham El Guerrouj,MAR,Bruxelles,22-Aug-1997,male,1500m
03:28.9,Mohamed Farah,GBR,Monaco (Stade Louis II),17-Jul-2015,male,1500m
03:28.9,Noah Ngeny,KEN,München (Olympiastadion),11-Sep-1999,male,1500m
03:28.9,Fermín Cacho,ESP,Zürich,13-Aug-1997,male,1500m
03:29.0,Mehdi Baala,FRA,Bruxelles (Boudewijnstadion),5-Sep-2003,male,1500m
03:29.0,Daniel Kipchirchir Komen,KEN,Roma (Stadio Olimpico),14-Jul-2006,male,1500m
03:29.0,Hicham El Guerrouj,MAR,Bruxelles,23-Aug-1996,male,1500m
03:29.1,Hicham El Guerrouj,MAR,Zürich (Letzigrund),17-Aug-2001,male,1500m
03:29.1,Hicham El Guerrouj,MAR,Rieti,2-Sep-2001,male,1500m
03:29.1,Hicham El Guerrouj,MAR,Oslo (Bislett),9-Jul-1998,male,1500m
03:29.1,Hicham El Guerrouj,MAR,Zürich,15-Aug-2003,male,1500m
03:29.1,Rashid Ramzi,BRN,Roma (Stadio Olimpico),14-Jul-2006,male,1500m
03:29.2,Hicham El Guerrouj,MAR,Heusden-Zolder,31-Jul-2004,male,1500m
03:29.2,Vénuste Niyongabo,BDI,Bruxelles,22-Aug-1997,male,1500m
03:29.2,Asbel Kiprop,KEN,Doha (Hamad Bin Suhaim),9-May-2014,male,1500m
03:29.2,Noah Ngeny,KEN,Bruxelles,3-Sep-1999,male,1500m
03:29.2,Noureddine Morceli,ALG,Narbonne,20-Jun-1993,male,1500m
03:29.2,Bernard Lagat,KEN,Paris Saint-Denis,23-Jul-2004,male,1500m
03:29.3,Hicham El Guerrouj,MAR,Paris (Charléty),14-Sep-2002,male,1500m
03:29.3,Silas Kiplagat,KEN,Monaco (Stade Louis II),22-Jul-2010,male,1500m
03:29.3,William Chirchir,KEN,Bruxelles,24-Aug-2001,male,1500m
03:29.3,Bernard Lagat,USA,Rieti,28-Aug-2005,male,1500m
03:29.3,Hicham El Guerrouj,MAR,Stockholm,7-Jul-1997,male,1500m
03:29.3,Asbel Kiprop,KEN,"Birmingham (Alexander), GBR",5-Jun-2016,male,1500m
03:29.4,Vénuste Niyongabo,BDI,Zürich,13-Aug-1997,male,1500m
03:29.5,Saïd Aouita,MAR,Berlin,23-Aug-1985,male,1500m
03:29.5,Daniel Komen,KEN,Monaco (Stade Louis II),16-Aug-1997,male,1500m
03:29.5,Augustine Kiprono Choge,KEN,Berlin (Olympiastadion),14-Jun-2009,male,1500m
03:29.5,Caleb Mwangangi Ndiku,KEN,Monaco (Stade Louis II),19-Jul-2013,male,1500m
03:29.5,Noureddine Morceli,ALG,Paris,28-Jun-1996,male,1500m
03:29.5,Hicham El Guerrouj,MAR,Hengelo (Blankers-Koen Stadion),31-May-1997,male,1500m
03:29.5,Ali Saïdi-Sief,ALG,Lausanne (Pontaise),4-Jul-2001,male,1500m
03:29.5,Amine Laalou,MAR,Monaco (Stade Louis II),22-Jul-2010,male,1500m
03:29.6,Noureddine Morceli,ALG,Rieti,5-Sep-1993,male,1500m
03:29.6,Ayanleh Souleiman,DJI,Monaco (Stade Louis II),18-Jul-2014,male,1500m
03:29.6,Hicham El Guerrouj,MAR,Stockholm,8-Jul-1996,male,1500m
03:29.6,Silas Kiplagat,KEN,Doha (Hamad Bin Suhaim),11-May-2012,male,1500m
03:29.7,Nicholas Willis,NZL,Monaco (Stade Louis II),17-Jul-2015,male,1500m
03:29.7,Elijah Motonei Manangoi,KEN,Monaco (Stade Louis II),17-Jul-2015,male,1500m
03:29.7,Steve Cram,GBR,Nice,16-Jul-1985,male,1500m
03:29.7,Hicham El Guerrouj,MAR,Bruxelles,28-Aug-1998,male,1500m
03:29.7,Bernard Lagat,USA,Rieti,27-Aug-2006,male,1500m
03:29.7,Silas Kiplagat,KEN,Doha (Hamad Bin Suhaim),9-May-2014,male,1500m
03:29.7,Saïd Aouita,MAR,Nice,16-Jul-1985,male,1500m
03:29.7,Hicham El Guerrouj,MAR,Oslo,4-Jul-1997,male,1500m
03:29.7,Daniel Kipchirchir Komen,KEN,Berlin (Olympiastadion),4-Sep-2005,male,1500m
03:29.8,Hicham El Guerrouj,MAR,Roma (Stadio Olimpico),11-Jul-2003,male,1500m
03:29.8,Nixon Kiplimo Chepseba,KEN,Monaco (Stade Louis II),20-Jul-2012,male,1500m
03:29.8,Sebastian Coe,GBR,Rieti,7-Sep-1986,male,1500m
03:29.8,Sydney Maree,USA,Köln,25-Aug-1985,male,1500m
03:29.8,Asbel Kiprop,KEN,Doha (Hamad Bin Suhaim),11-May-2012,male,1500m
03:29.8,Noah Ngeny,KEN,Monaco (Stade Louis II),4-Aug-1999,male,1500m
03:29.8,Abdalaati Iguider,MAR,Monaco (Stade Louis II),18-Jul-2014,male,1500m
03:29.8,Hicham El Guerrouj,MAR,Roma (Stadio Olimpico),29-Jun-2001,male,1500m
03:29.9,Nixon Kiplimo Chepseba,KEN,Hengelo (Blankers-Koen Stadion),27-May-2012,male,1500m
03:29.9,Laban Rotich,KEN,Zürich,12-Aug-1998,male,1500m
03:29.9,Nicholas Willis,NZL,Monaco (Stade Louis II),18-Jul-2014,male,1500m
03:29.9,Aman Wote,ETH,Monaco (Stade Louis II),18-Jul-2014,male,1500m
03:30.0,Hicham El Guerrouj,MAR,Bruxelles,30-Aug-2002,male,1500m
03:30.0,Hicham El Guerrouj,MAR,Paris Saint-Denis,5-Jul-2002,male,1500m
03:30.0,Noureddine Morceli,ALG,Rieti,1-Sep-1996,male,1500m
03:30.0,Noah Ngeny,KEN,Roma (Stadio Olimpico),30-Jun-2000,male,1500m
03:30.0,Hicham El Guerrouj,MAR,Berlin (Olympiastadion),6-Sep-2002,male,1500m
03:30.0,Rashid Ramzi,BRN,Roma (Stadio Olimpico),8-Jul-2005,male,1500m
03:30.0,Daniel Kipchirchir Komen,KEN,Paris Saint-Denis,1-Jul-2005,male,1500m
03:30.0,Timothy Too Kiptanui,KEN,Paris Saint-Denis,23-Jul-2004,male,1500m
19.19,Usain Bolt,JAM,Berlin (Olympiastadion),20-Aug-2009,male,200m
19.26,Yohan Blake,JAM,Bruxelles (Boudewijnstadion),16-Sep-2011,male,200m
19.3,Usain Bolt,JAM,Beijing (National Stadium),20-Aug-2008,male,200m
19.32,Usain Bolt,JAM,London (Olympic Stadium),9-Aug-2012,male,200m
19.32,Michael Johnson,USA,"Atlanta (Olympic Stadium), GA",1-Aug-1996,male,200m
19.4,Usain Bolt,JAM,Daegu (DS),3-Sep-2011,male,200m
19.44,Yohan Blake,JAM,London (Olympic Stadium),9-Aug-2012,male,200m
19.53,Walter Dix,USA,Bruxelles (Boudewijnstadion),16-Sep-2011,male,200m
19.54,Yohan Blake,JAM,Bruxelles (Boudewijnstadion),7-Sep-2012,male,200m
19.55,Usain Bolt,JAM,Beijing (National Stadium),27-Aug-2015,male,200m
19.56,Usain Bolt,JAM,"Kingston (NS), JAM",1-May-2010,male,200m
19.57,Justin Gatlin,USA,"Eugene (Hayward Field), OR",28-Jun-2015,male,200m
19.57,Usain Bolt,JAM,Bruxelles (Boudewijnstadion),4-Sep-2009,male,200m
19.58,Usain Bolt,JAM,Lausanne (Pontaise),23-Aug-2012,male,200m
19.58,Tyson Gay,USA,"New York City (Icahn), NY",30-May-2009,male,200m
19.59,Usain Bolt,JAM,Lausanne (Pontaise),7-Jul-2009,male,200m
19.62,Tyson Gay,USA,"Indianapolis, IN",24-Jun-2007,male,200m
19.63,Usain Bolt,JAM,Lausanne (Pontaise),2-Sep-2008,male,200m
19.63,Xavier Carter,USA,Lausanne (Pontaise),11-Jul-2006,male,200m
19.65,Wallace Spearmon,USA,Daegu,28-Sep-2006,male,200m
19.66,Usain Bolt,JAM,Moskva (Luzhniki),17-Aug-2013,male,200m
19.66,Michael Johnson,USA,"Atlanta, GA",23-Jun-1996,male,200m
19.66,Usain Bolt,JAM,Zürich (Letzigrund),30-Aug-2012,male,200m
19.67,Usain Bolt,JAM,Athína (Olympic Stadium),13-Jul-2008,male,200m
19.68,Justin Gatlin,USA,Monaco (Stade Louis II),18-Jul-2014,male,200m
19.68,Justin Gatlin,USA,"Eugene (Hayward Field), OR",30-May-2015,male,200m
19.68,Usain Bolt,JAM,Thessaloníki,13-Sep-2009,male,200m
19.68,Frank Fredericks,NAM,"Atlanta (Olympic Stadium), GA",1-Aug-1996,male,200m
19.68,Tyson Gay,USA,Stuttgart (Gottlieb-Daimler Stadion),10-Sep-2006,male,200m
19.69,Walter Dix,USA,"Gainesville, FL",26-May-2007,male,200m
19.7,Tyson Gay,USA,Lausanne (Pontaise),11-Jul-2006,male,200m
19.7,Walter Dix,USA,Daegu (DS),3-Sep-2011,male,200m
19.71,Michael Johnson,USA,Pietersburg,18-Mar-2000,male,200m
19.71,Justin Gatlin,USA,Bruxelles (Boudewijnstadion),5-Sep-2014,male,200m
19.72,Pietro Mennea,ITA,Ciudad de México,12-Sep-1979,male,200m
19.72,Walter Dix,USA,"Eugene (Hayward Field), OR",3-Jul-2010,male,200m
19.72,Tyson Gay,USA,Monaco (Stade Louis II),22-Jul-2010,male,200m
19.73,Usain Bolt,JAM,Paris Saint-Denis (Stade de France),6-Jul-2013,male,200m
19.73,Michael Marsh,USA,Barcelona (Estadio Olímpico),5-Aug-1992,male,200m
19.74,LaShawn Merritt,USA,"Eugene (Hayward Field), OR",8-Jul-2016,male,200m
19.74,Justin Gatlin,USA,Beijing (National Stadium),27-Aug-2015,male,200m
19.75,Justin Gatlin,USA,"Eugene (Hayward Field), OR",9-Jul-2016,male,200m
19.75,Usain Bolt,JAM,"Kingston (NS), JAM",24-Jun-2007,male,200m
19.75,Joe DeLoach,USA,Seoul (Olympic Stadium),28-Sep-1988,male,200m
19.75,Carl Lewis,USA,"Indianapolis, IN",19-Jun-1983,male,200m
19.76,Tyson Gay,USA,Osaka (Nagai Stadium),30-Aug-2007,male,200m
19.76,Tyson Gay,USA,"Eugene (Hayward Field), OR",3-Jul-2010,male,200m
19.76,Usain Bolt,JAM,Shanghai (SS),23-May-2010,male,200m
19.76,Usain Bolt,JAM,London (Crystal Palace),26-Jul-2008,male,200m
19.77,Michael Johnson,USA,Stockholm,8-Jul-1996,male,200m
19.77,Ato Boldon,TTO,Stuttgart,13-Jul-1997,male,200m
19.78,Yohan Blake,JAM,Monaco (Stade Louis II),22-Jul-2010,male,200m
19.78,Tyson Gay,USA,Lausanne (Pontaise),10-Jul-2007,male,200m
19.78,Usain Bolt,JAM,Rio de Janeiro (Estádio Olímpico),17-Aug-2016,male,200m
19.78,LaShawn Merritt,USA,Nassau (T. Robinson Stadium),16-Apr-2016,male,200m
19.78,Usain Bolt,JAM,Rio de Janeiro (Estádio Olímpico),18-Aug-2016,male,200m
19.79,Warren Weir,JAM,"Kingston (NS), JAM",23-Jun-2013,male,200m
19.79,Shawn Crawford,USA,Athína (Olympic Stadium),26-Aug-2004,male,200m
19.79,Warren Weir,JAM,Moskva (Luzhniki),17-Aug-2013,male,200m
19.79,LaShawn Merritt,USA,"Eugene (Hayward Field), OR",9-Jul-2016,male,200m
19.79,Usain Bolt,JAM,Oslo (Bislett),13-Jun-2013,male,200m
19.79,Wallace Spearmon,USA,Zürich (Letzigrund),19-Aug-2010,male,200m
19.79,Tyson Gay,USA,Bruxelles (Boudewijnstadion),25-Aug-2006,male,200m
19.79,Michael Johnson,USA,Göteborg (Ullevi Stadium),11-Aug-1995,male,200m
19.79,Carl Lewis,USA,Seoul (Olympic Stadium),28-Sep-1988,male,200m
19.79,Michael Johnson,USA,"New Orleans, LA",28-Jun-1992,male,200m
19.8,Christophe Lemaitre,FRA,Daegu (DS),3-Sep-2011,male,200m
19.8,Carl Lewis,USA,Los Angeles (Memorial Coliseum),8-Aug-1984,male,200m
19.8,Andre De Grasse,CAN,Rio de Janeiro (Estádio Olímpico),17-Aug-2016,male,200m
19.8,Rasheed Dwyer,JAM,Toronto (CIBC),23-Jul-2015,male,200m
19.8,Yohan Blake,JAM,"Kingston (NS), JAM",1-Jul-2012,male,200m
19.8,Ato Boldon,TTO,"Atlanta (Olympic Stadium), GA",1-Aug-1996,male,200m
19.81,Frank Fredericks,NAM,Fukuoka,13-Sep-1997,male,200m
19.81,Churandy Martina,NED,Lausanne (Pontaise),25-Aug-2016,male,200m
19.81,Alonso Edward,PAN,Berlin (Olympiastadion),20-Aug-2009,male,200m
19.82,Ato Boldon,TTO,Stockholm,7-Jul-1997,male,200m
19.82,Warren Weir,JAM,"New York City (Icahn), NY",14-Jun-2014,male,200m
19.82,Carl Lewis,USA,Sestriere,11-Aug-1988,male,200m
19.82,Wallace Spearmon,USA,"New York City (Icahn), NY",2-Jun-2007,male,200m
19.82,Frank Fredericks,NAM,Oslo,5-Jul-1996,male,200m
19.83,Michael Johnson,USA,"Atlanta, GA",18-May-1996,male,200m
19.83,Usain Bolt,JAM,"Kingston (NS), JAM",1-Jul-2012,male,200m
19.83,Usain Bolt,JAM,Ostrava,12-Jun-2008,male,200m
19.83,Tommie Smith,USA,Ciudad de México (Estadio Olímpico),16-Oct-1968,male,200m
19.84,Tyson Gay,USA,London (Crystal Palace),28-Jul-2006,male,200m
19.84,Alonso Edward,PAN,Lausanne (Pontaise),3-Jul-2014,male,200m
19.84,Francis Obikwelu,NGR,Sevilla (La Cartuja),25-Aug-1999,male,200m
19.84,Carl Lewis,USA,"Los Angeles, CA",19-Jun-1984,male,200m
19.84,Warren Weir,JAM,London (Olympic Stadium),9-Aug-2012,male,200m
19.85,Churandy Martina,NED,Lausanne (Pontaise),23-Aug-2012,male,200m
19.85,Frank Fredericks,NAM,Stuttgart (Gottlieb-Daimler Stadion),20-Aug-1993,male,200m
19.85,Wallace Spearmon,USA,Rieti (Guidobaldi),29-Aug-2010,male,200m
19.85,Nickel Ashmeade,JAM,Zürich (Letzigrund),30-Aug-2012,male,200m
19.85,Wallace Spearmon,USA,Berlin (Olympiastadion),20-Aug-2009,male,200m
19.85,Konstadínos Kedéris,GRE,München,9-Aug-2002,male,200m
19.85,Shawn Crawford,USA,Pretoria,12-Apr-2002,male,200m
19.85,John Capel,USA,"Sacramento, CA",23-Jul-2000,male,200m
19.85,Ato Boldon,TTO,Lausanne,3-Jul-1996,male,200m
19.85,Michael Johnson,USA,Edinburgh,6-Jul-1990,male,200m
19.85,Michael Johnson,USA,Oslo,5-Jul-1996,male,200m
43.03,Wayde van Niekerk,RSA,Rio de Janeiro (Estádio Olímpico),14-Aug-2016,male,400m
43.18,Michael Johnson,USA,Sevilla (La Cartuja),26-Aug-1999,male,400m
43.29,Harry Reynolds,USA,Zürich (Letzigrund),17-Aug-1988,male,400m
43.39,Michael Johnson,USA,Göteborg (Ullevi Stadium),9-Aug-1995,male,400m
43.44,Michael Johnson,USA,"Atlanta, GA",19-Jun-1996,male,400m
43.45,Jeremy Wariner,USA,Osaka (Nagai Stadium),31-Aug-2007,male,400m
43.48,Wayde van Niekerk,RSA,Beijing (National Stadium),26-Aug-2015,male,400m
43.49,Michael Johnson,USA,"Atlanta (Olympic Stadium), GA",29-Jul-1996,male,400m
43.5,Jeremy Wariner,USA,Stockholm,7-Aug-2007,male,400m
43.5,Quincy Watts,USA,Barcelona (Estadio Olímpico),5-Aug-1992,male,400m
43.62,Jeremy Wariner,USA,Roma (Stadio Olimpico),14-Jul-2006,male,400m
43.65,LaShawn Merritt,USA,Beijing (National Stadium),26-Aug-2015,male,400m
43.65,Michael Johnson,USA,Stuttgart (Gottlieb-Daimler Stadion),17-Aug-1993,male,400m
43.66,Michael Johnson,USA,Lausanne,3-Jul-1996,male,400m
43.66,Michael Johnson,USA,"Sacramento, CA",16-Jun-1995,male,400m
43.68,Michael Johnson,USA,Zürich,12-Aug-1998,male,400m
43.68,Michael Johnson,USA,"Sacramento, CA",16-Jul-2000,male,400m
43.71,Quincy Watts,USA,Barcelona (Estadio Olímpico),3-Aug-1992,male,400m
43.72,Isaac Makwala,BOT,La Chaux-de-Fonds (La Charrière),5-Jul-2015,male,400m
43.74,Kirani James,GRN,Lausanne (Pontaise),3-Jul-2014,male,400m
43.74,LaShawn Merritt,USA,Moskva (Luzhniki),13-Aug-2013,male,400m
43.74,Michael Johnson,USA,"Eugene, OR",19-Jun-1993,male,400m
43.75,LaShawn Merritt,USA,Beijing (National Stadium),21-Aug-2008,male,400m
43.75,Michael Johnson,USA,"Waco, TX",19-Apr-1997,male,400m
43.76,Kirani James,GRN,Rio de Janeiro (Estádio Olímpico),14-Aug-2016,male,400m
43.76,Michael Johnson,USA,"Uniondale (Mitchel AC), NY",21-Jul-1998,male,400m
43.78,Kirani James,GRN,Beijing (National Stadium),26-Aug-2015,male,400m
43.81,Danny Everett,USA,"New Orleans, LA",26-Jun-1992,male,400m
43.82,Jeremy Wariner,USA,Zürich (Letzigrund),29-Aug-2008,male,400m
43.83,Quincy Watts,USA,Zürich (Letzigrund),19-Aug-1992,male,400m
43.84,Michael Johnson,USA,Sydney (Olympic Stadium),25-Sep-2000,male,400m
43.85,LaShawn Merritt,USA,Rio de Janeiro (Estádio Olímpico),14-Aug-2016,male,400m
43.86,Michael Johnson,USA,Oslo,21-Jul-1995,male,400m
43.86,Jeremy Wariner,USA,Paris Saint-Denis,18-Jul-2008,male,400m
43.86,Lee Evans,USA,Ciudad de México (Estadio Olímpico),18-Oct-1968,male,400m
43.87,Steve Lewis,USA,Seoul (Olympic Stadium),28-Sep-1988,male,400m
43.88,Michael Johnson,USA,Zürich,16-Aug-1995,male,400m
43.9,Michael Johnson,USA,Madrid,6-Sep-1994,male,400m
43.91,Jeremy Wariner,USA,Paris Saint-Denis,8-Jul-2006,male,400m
43.91,Harry Reynolds,USA,"Atlanta, GA",19-Jun-1996,male,400m
43.92,Michael Johnson,USA,Lausanne (Pontaise),2-Jul-1999,male,400m
43.92,LaShawn Merritt,USA,Lausanne (Pontaise),3-Jul-2014,male,400m
43.92,Michael Johnson,USA,"Eugene, OR",24-Jun-2000,male,400m
43.93,Yousef Ahmed Masrahi,KSA,Beijing (National Stadium),23-Aug-2015,male,400m
43.93,Harry Reynolds,USA,Seoul (Olympic Stadium),28-Sep-1988,male,400m
43.93,Rusheen McDonald,JAM,Beijing (National Stadium),23-Aug-2015,male,400m
43.93,Jeremy Wariner,USA,Helsinki (Olympic Stadium),12-Aug-2005,male,400m
43.93,Harry Reynolds,USA,"Indianapolis (University Stadium), IN",20-Jul-1988,male,400m
43.94,Michael Johnson,USA,Berlin (Olympiastadion),27-Aug-1993,male,400m
43.94,Kirani James,GRN,London (Olympic Stadium),6-Aug-2012,male,400m
43.95,Michael Johnson,USA,Sevilla (La Cartuja),24-Aug-1999,male,400m
43.95,Kirani James,GRN,"Eugene (Hayward Field), OR",30-May-2015,male,400m
43.96,Kirani James,GRN,Paris Saint-Denis (Stade de France),6-Jul-2013,male,400m
43.96,Michael Johnson,USA,Monaco (Stade Louis II),8-Aug-1998,male,400m
43.96,LaShawn Merritt,USA,Osaka (Nagai Stadium),31-Aug-2007,male,400m
43.96,Wayde van Niekerk,RSA,Paris Saint-Denis (Stade de France),4-Jul-2015,male,400m
43.97,Kirani James,GRN,"Eugene (Hayward Field), OR",31-May-2014,male,400m
43.97,LaShawn Merritt,USA,"Eugene (Hayward Field), OR",31-May-2014,male,400m
43.97,Larry James,USA,Ciudad de México (Estadio Olímpico),18-Oct-1968,male,400m
43.97,LaShawn Merritt,USA,"Eugene (Hayward Field), OR",3-Jul-2016,male,400m
43.97,Quincy Watts,USA,"New Orleans, LA",24-Jun-1992,male,400m
43.98,LaShawn Merritt,USA,Lausanne (Pontaise),2-Sep-2008,male,400m
43.98,Michael Johnson,USA,London (Crystal Palace),10-Jul-1992,male,400m
43.98,Danny Everett,USA,"Indianapolis (University Stadium), IN",20-Jul-1988,male,400m
43.98,Jeremy Wariner,USA,Oslo (Bislett),6-Jun-2008,male,400m
43.99,Jeremy Wariner,USA,London (Crystal Palace),28-Jul-2006,male,400m
44,LaShawn Merritt,USA,"Eugene, OR",3-Jul-2008,male,400m
44,Jeremy Wariner,USA,Athína (Olympic Stadium),23-Aug-2004,male,400m
44,Quincy Watts,USA,"Austin, TX",6-Jun-1992,male,400m
44.01,Isaac Makwala,BOT,La Chaux-de-Fonds (La Charrière),6-Jul-2014,male,400m
44.01,Machel Cedenio,TTO,Rio de Janeiro (Estádio Olímpico),14-Aug-2016,male,400m
44.02,Jeremy Wariner,USA,Osaka,5-May-2007,male,400m
44.02,Jeremy Wariner,USA,Shanghai,28-Sep-2007,male,400m
44.02,Jeremy Wariner,USA,Stockholm,25-Jul-2006,male,400m
44.02,Jeremy Wariner,USA,Stuttgart (Gottlieb-Daimler Stadion),9-Sep-2006,male,400m
44.02,Kirani James,GRN,Rio de Janeiro (Estádio Olímpico),13-Aug-2016,male,400m
44.02,Kirani James,GRN,Shanghai (SS),18-May-2013,male,400m
44.03,LaShawn Merritt,USA,Berlin (Olympiastadion),1-Jun-2008,male,400m
44.04,Michael Johnson,USA,Berlin (Olympiastadion),30-Aug-1994,male,400m
44.05,Angelo Taylor,USA,"Indianapolis, IN",23-Jun-2007,male,400m
44.05,Jeremy Wariner,USA,Berlin (Olympiastadion),16-Sep-2007,male,400m
44.05,Jeremy Wariner,USA,London (Crystal Palace),3-Aug-2007,male,400m
44.06,LaShawn Merritt,USA,"Indianapolis, IN",23-Jun-2007,male,400m
44.06,Danny Everett,USA,Sevilla,30-May-1990,male,400m
44.06,Lee Evans,USA,"Echo Summit, CA",14-Sep-1968,male,400m
44.06,LaShawn Merritt,USA,Berlin (Olympiastadion),21-Aug-2009,male,400m
44.06,Michael Johnson,USA,Bruxelles,28-Aug-1998,male,400m
44.07,Michael Johnson,USA,Bruxelles,25-Aug-2000,male,400m
44.07,Jeremy Wariner,USA,Berlin (Olympiastadion),1-Jun-2008,male,400m
44.08,Kirani James,GRN,"Des Moines (Drake Stadium), IA",29-Apr-2016,male,400m
44.08,Harry Reynolds,USA,Lausanne (Pontaise),2-Jul-1997,male,400m
44.08,Steve Lewis,USA,"New Orleans, LA",26-Jun-1992,male,400m
44.09,Jerome Young,USA,"New Orleans, LA",21-Jun-1998,male,400m
44.09,Alvin Harrison,USA,"Atlanta, GA",19-Jun-1996,male,400m
44.09,LaShawn Merritt,USA,Paris Saint-Denis (Stade de France),6-Jul-2013,male,400m
44.09,Danny Everett,USA,Seoul (Olympic Stadium),28-Sep-1988,male,400m
44.1,Gary Kikaya,COD,Stuttgart (Gottlieb-Daimler Stadion),9-Sep-2006,male,400m
44.1,Harry Reynolds,USA,"Columbus, OH",3-May-1987,male,400m
44.11,Steve Lewis,USA,"Indianapolis (University Stadium), IN",18-Jul-1988,male,400m
44.11,Isaac Makwala,BOT,Beijing (National Stadium),24-Aug-2015,male,400m
46.78,Kevin Young,USA,Barcelona (Estadio Olímpico),6-Aug-1992,male,400mh
47.02,Edwin Moses,USA,Koblenz,31-Aug-1983,male,400mh
47.03,Bryan Bronson,USA,"New Orleans, LA",21-Jun-1998,male,400mh
47.1,Samuel Matete,ZAM,Zürich (Letzigrund),7-Aug-1991,male,400mh
47.13,Edwin Moses,USA,Milano,3-Jul-1980,male,400mh
47.14,Edwin Moses,USA,Lausanne,14-Jul-1981,male,400mh
47.17,Edwin Moses,USA,Berlin,8-Aug-1980,male,400mh
47.18,Kevin Young,USA,Stuttgart (Gottlieb-Daimler Stadion),19-Aug-1993,male,400mh
47.19,Andre Phillips,USA,Seoul (Olympic Stadium),25-Sep-1988,male,400mh
47.23,Amadou Dia Ba,SEN,Seoul (Olympic Stadium),25-Sep-1988,male,400mh
47.24,Kerron Clement,USA,"Carson, CA",26-Jun-2005,male,400mh
47.25,Angelo Taylor,USA,Beijing (National Stadium),18-Aug-2008,male,400mh
47.25,Felix Sánchez,DOM,Paris Saint-Denis (Stade de France),29-Aug-2003,male,400mh
47.27,Edwin Moses,USA,Berlin,21-Aug-1981,male,400mh
47.3,Bershawn Jackson,USA,Helsinki (Olympic Stadium),9-Aug-2005,male,400mh
47.32,Bershawn Jackson,USA,"Des Moines, IA",26-Jun-2010,male,400mh
47.32,Edwin Moses,USA,Koblenz,29-Aug-1984,male,400mh
47.35,Felix Sánchez,DOM,Zürich,16-Aug-2002,male,400mh
47.37,Stéphane Diagana,FRA,Lausanne (Pontaise),5-Jul-1995,male,400mh
47.37,Edwin Moses,USA,"Indianapolis (University Stadium), IN",17-Jul-1988,male,400mh
47.37,Edwin Moses,USA,Zürich (Letzigrund),24-Aug-1983,male,400mh
47.37,Edwin Moses,USA,Roma (Stadio Olimpico),4-Sep-1981,male,400mh
47.37,Kevin Young,USA,Lausanne (Pontaise),7-Jul-1993,male,400mh
47.38,Edwin Moses,USA,Lausanne,2-Sep-1986,male,400mh
47.38,Danny Harris,USA,Lausanne,10-Jul-1991,male,400mh
47.38,Felix Sánchez,DOM,Zürich (Letzigrund),17-Aug-2001,male,400mh
47.39,Kerron Clement,USA,"Indianapolis, IN",24-Jun-2006,male,400mh
47.4,Kevin Young,USA,Zürich (Letzigrund),19-Aug-1992,male,400mh
47.42,Kevin Young,USA,Köln,16-Aug-1992,male,400mh
47.43,James Carter,USA,Helsinki (Olympic Stadium),9-Aug-2005,male,400mh
47.43,Edwin Moses,USA,Köln,28-Aug-1983,male,400mh
47.45,Edwin Moses,USA,"Los Angeles (Westwood), CA",11-Jun-1977,male,400mh
47.46,Edwin Moses,USA,Roma (Stadio Olimpico),1-Sep-1987,male,400mh
47.48,Danny Harris,USA,Roma (Stadio Olimpico),1-Sep-1987,male,400mh
47.48,Harald Schmid,FRG,Athína,8-Sep-1982,male,400mh
47.48,Bershawn Jackson,USA,"Indianapolis, IN",24-Jun-2006,male,400mh
