,EnteroCount,FourDayRainTotal
1318,19.0,0.0
1319,1.0,0.0
1320,27.0,0.3
1321,10.0,0.6
1322,8.0,0.3
1323,19.0,0.1
1324,1300.0,0.0
1325,328.0,1.0
1326,17.0,0.0
1327,326.0,0.4
1328,2420.0,1.5
1329,921.0,2.1
1330,727.0,0.5
1331,12.0,0.0
1332,921.0,0.8
1333,125.0,0.1
1334,411.0,0.1
1335,37.0,0.5
1336,225.0,0.0
1337,93.0,0.2
1338,365.0,0.4
1339,33.0,0.0
1340,58.0,0.0
1341,194.0,0.0
1342,49.0,0.0
1343,1733.0,0.1
1344,131.0,0.0
1345,88.0,0.0
1346,365.0,0.0
1347,41.0,0.0
1348,7.0,0.0
1349,3.0,0.1
1350,13.0,1.0
1351,,0.6
1352,1.0,0.3
1353,32.0,0.0
1354,,0.1
1355,5.0,1.5
1356,13.0,0.9
1357,4.0,0.5
1358,13.0,1.7
1359,17.0,0.0
1360,12.0,0.0
1361,16.0,0.2
1362,4.0,0.0
1363,6.0,0.0
1364,99.0,0.0
1365,1.0,1.0
1366,166.0,0.0
1367,25.0,0.4
